============================================================
EXPERIMENT: k=3 Confirmation
============================================================

Config [FULL]: k=3, d=40, L=219, V=44, n=20000, layers=2, d_model=128, heads=4, dropout=0.2, epochs=50, patience=15

-- DENSE --
  dense ep1: train=0.019 | val=0.031 | best=0.031 | bad=0/15 | lr=0.00067 | 4.0s
  dense ep2: train=0.036 | val=0.037 | best=0.037 | bad=0/15 | lr=0.00100 | 4.3s
  dense ep3: train=0.030 | val=0.034 | best=0.037 | bad=1/15 | lr=0.00100 | 3.9s
  dense ep4: train=0.042 | val=0.039 | best=0.039 | bad=0/15 | lr=0.00100 | 3.9s
  dense ep5: train=0.044 | val=0.039 | best=0.039 | bad=1/15 | lr=0.00100 | 4.3s
  dense ep6: train=0.037 | val=0.045 | best=0.045 | bad=0/15 | lr=0.00099 | 3.9s
  dense ep7: train=0.031 | val=0.037 | best=0.045 | bad=1/15 | lr=0.00098 | 3.9s
  dense ep8: train=0.025 | val=0.034 | best=0.045 | bad=2/15 | lr=0.00097 | 4.3s
  dense ep9: train=0.045 | val=0.038 | best=0.045 | bad=3/15 | lr=0.00096 | 3.9s
  dense ep10: train=0.031 | val=0.034 | best=0.045 | bad=4/15 | lr=0.00095 | 3.9s
  dense ep11: train=0.050 | val=0.035 | best=0.045 | bad=5/15 | lr=0.00093 | 4.3s
  dense ep12: train=0.052 | val=0.039 | best=0.045 | bad=6/15 | lr=0.00091 | 3.9s
  dense ep13: train=0.053 | val=0.036 | best=0.045 | bad=7/15 | lr=0.00089 | 3.8s
  dense ep14: train=0.034 | val=0.044 | best=0.045 | bad=8/15 | lr=0.00087 | 4.2s
  dense ep15: train=0.042 | val=0.046 | best=0.046 | bad=0/15 | lr=0.00085 | 3.8s
  dense ep16: train=0.042 | val=0.049 | best=0.049 | bad=0/15 | lr=0.00082 | 3.8s
  dense ep17: train=0.053 | val=0.047 | best=0.049 | bad=1/15 | lr=0.00080 | 4.2s
  dense ep18: train=0.048 | val=0.046 | best=0.049 | bad=2/15 | lr=0.00077 | 3.9s
  dense ep19: train=0.050 | val=0.054 | best=0.054 | bad=0/15 | lr=0.00074 | 3.8s
  dense ep20: train=0.053 | val=0.044 | best=0.054 | bad=1/15 | lr=0.00071 | 4.0s
  dense ep21: train=0.039 | val=0.045 | best=0.054 | bad=2/15 | lr=0.00068 | 4.0s
  dense ep22: train=0.047 | val=0.046 | best=0.054 | bad=3/15 | lr=0.00065 | 3.8s
  dense ep23: train=0.050 | val=0.047 | best=0.054 | bad=4/15 | lr=0.00062 | 4.0s
  dense ep24: train=0.058 | val=0.051 | best=0.054 | bad=5/15 | lr=0.00058 | 4.1s
  dense ep25: train=0.056 | val=0.048 | best=0.054 | bad=6/15 | lr=0.00055 | 3.8s
  dense ep26: train=0.045 | val=0.048 | best=0.054 | bad=7/15 | lr=0.00052 | 3.9s
  dense ep27: train=0.055 | val=0.048 | best=0.054 | bad=8/15 | lr=0.00048 | 4.2s
  dense ep28: train=0.077 | val=0.050 | best=0.054 | bad=9/15 | lr=0.00045 | 3.8s
  dense ep29: train=0.061 | val=0.049 | best=0.054 | bad=10/15 | lr=0.00042 | 3.9s
  dense ep30: train=0.047 | val=0.049 | best=0.054 | bad=11/15 | lr=0.00038 | 4.2s
  dense ep31: train=0.067 | val=0.046 | best=0.054 | bad=12/15 | lr=0.00035 | 3.9s
  dense ep32: train=0.072 | val=0.044 | best=0.054 | bad=13/15 | lr=0.00032 | 3.8s
  dense ep33: train=0.042 | val=0.049 | best=0.054 | bad=14/15 | lr=0.00029 | 4.2s
  dense ep34: train=0.042 | val=0.048 | best=0.054 | bad=15/15 | lr=0.00026 | 3.9s
  dense early stop @ ep34 (best=0.054)
  dense allowed ~100.0%
  dense FINAL full-val acc = 0.048

-- WINDOW --
  window ep1: train=0.022 | val=0.035 | best=0.035 | bad=0/15 | lr=0.00067 | 4.6s
  window ep2: train=0.033 | val=0.033 | best=0.035 | bad=1/15 | lr=0.00100 | 4.8s
  window ep3: train=0.025 | val=0.030 | best=0.035 | bad=2/15 | lr=0.00100 | 4.6s
  window ep4: train=0.034 | val=0.035 | best=0.035 | bad=3/15 | lr=0.00100 | 4.9s
  window ep5: train=0.042 | val=0.034 | best=0.035 | bad=4/15 | lr=0.00100 | 4.6s
  window ep6: train=0.039 | val=0.042 | best=0.042 | bad=0/15 | lr=0.00099 | 4.6s
  window ep7: train=0.030 | val=0.029 | best=0.042 | bad=1/15 | lr=0.00098 | 4.9s
  window ep8: train=0.047 | val=0.034 | best=0.042 | bad=2/15 | lr=0.00097 | 4.6s
  window ep9: train=0.042 | val=0.036 | best=0.042 | bad=3/15 | lr=0.00096 | 4.8s
