k,distractors,method,mean_acc,std_acc,n_seeds,values
1,20,dense,0.120500,0.003899,5,"[0.12525, 0.122, 0.11725, 0.12325, 0.11475]"
1,20,window,0.112900,0.003300,5,"[0.11575, 0.10925, 0.1085, 0.11575, 0.11525]"
1,20,graph,0.674500,0.072098,5,"[0.64075, 0.67575, 0.7555, 0.55775, 0.74275]"
1,40,dense,0.073950,0.013269,5,"[0.06325, 0.08675, 0.08375, 0.08275, 0.05325]"
1,40,window,0.058550,0.004799,5,"[0.06175, 0.05825, 0.05075, 0.065, 0.057]"
1,40,graph,0.502400,0.123794,5,"[0.562, 0.57275, 0.255, 0.56425, 0.558]"
1,80,dense,0.053350,0.009358,5,"[0.03675, 0.06125, 0.0605, 0.04925, 0.059]"
1,80,window,0.038800,0.001279,5,"[0.04025, 0.0365, 0.03925, 0.0395, 0.0385]"
1,80,graph,0.044700,0.008511,5,"[0.037, 0.04, 0.06075, 0.04575, 0.04]"
2,20,dense,0.107167,0.001359,3,"[0.10525, 0.10825, 0.108]"
2,20,window,0.101417,0.003381,3,"[0.101, 0.0975, 0.10575]"
2,20,graph,0.109750,0.003048,3,"[0.107, 0.10825, 0.114]"
2,40,dense,0.057083,0.004312,3,"[0.0605, 0.05975, 0.051]"
2,40,window,0.052667,0.001559,3,"[0.05475, 0.05225, 0.051]"
2,40,graph,0.075333,0.002552,3,"[0.0775, 0.07175, 0.07675]"
2,80,dense,0.043583,0.004789,3,"[0.04825, 0.0455, 0.037]"
2,80,window,0.039167,0.001559,3,"[0.04125, 0.03875, 0.0375]"
2,80,graph,0.041750,0.004477,3,"[0.048, 0.0395, 0.03775]"
3,40,dense,0.053750,0.000000,1,"[0.05375]"
3,40,window,0.041750,0.000000,1,"[0.04175]"
3,40,graph,0.075500,0.000000,1,"[0.0755]"
